date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:25:15	6405/6405	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225c498f35-1905%22	https://exponentwptheme.com/finance/wp-content/uploads/sites/19/2018/12/exp-logo-dark.svg	E:/My%20Web%20Sites/int/exponentwptheme.com/finance/wp-content/uploads/sites/19/2018/12/exp-logo-dark.svg	(from https://exponentwptheme.com/finance/)
10:25:16	6407/6407	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225c498f35-1907%22	https://exponentwptheme.com/finance/wp-content/uploads/sites/19/2018/12/exp-logo-light.svg	E:/My%20Web%20Sites/int/exponentwptheme.com/finance/wp-content/uploads/sites/19/2018/12/exp-logo-light.svg	(from https://exponentwptheme.com/finance/)
10:25:17	68/68	---M--	200	added ('OK')	image/png	etag:%225fc491a0-44%22	http://exponentwptheme.com/finance/wp-content/plugins/revslider/public/assets/assets/dummy.png	E:/My%20Web%20Sites/int/exponentwptheme.com/finance/wp-content/plugins/revslider/public/assets/assets/dummy.png	(from https://exponentwptheme.com/finance/)
10:25:17	198896/198896	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Dec%202020%2004:55:18%20GMT	https://exponentwptheme.com/finance/about-2/	E:/My%20Web%20Sites/int/exponentwptheme.com/finance/about-2/index.html	(from https://exponentwptheme.com/finance/)
10:25:17	71503/71503	---M--	200	added ('OK')	image/jpeg	etag:%225b9b6760-1174f%22	https://exponentwptheme.com/finance/wp-content/uploads/sites/19/2018/09/Home-IMG-2.jpg	E:/My%20Web%20Sites/int/exponentwptheme.com/finance/wp-content/uploads/sites/19/2018/09/Home-IMG-2.jpg	(from https://exponentwptheme.com/finance/)
10:25:17	262464/262464	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Dec%202020%2004:55:18%20GMT	https://exponentwptheme.com/finance/home/	E:/My%20Web%20Sites/int/exponentwptheme.com/finance/home/index.html	(from https://exponentwptheme.com/finance/)
10:25:17	79486/79486	---M--	200	added ('OK')	image/jpeg	etag:%225b9b6762-1367e%22	https://exponentwptheme.com/finance/wp-content/uploads/sites/19/2018/09/Home-IMG-3.jpg	E:/My%20Web%20Sites/int/exponentwptheme.com/finance/wp-content/uploads/sites/19/2018/09/Home-IMG-3.jpg	(from https://exponentwptheme.com/finance/)
10:25:18	163110/163110	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Dec%202020%2004:55:19%20GMT	https://exponentwptheme.com/finance/services/	E:/My%20Web%20Sites/int/exponentwptheme.com/finance/services/index.html	(from https://exponentwptheme.com/finance/)
10:25:18	132103/132103	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Dec%202020%2004:55:19%20GMT	https://exponentwptheme.com/finance/portfolio/consulting/	E:/My%20Web%20Sites/int/exponentwptheme.com/finance/portfolio/consulting/index.html	(from https://exponentwptheme.com/finance/)
10:25:18	152905/152905	---M--	200	added ('OK')	image/jpeg	etag:%225b9b6763-25549%22	https://exponentwptheme.com/finance/wp-content/uploads/sites/19/2018/09/Home-IMG-4.jpg	E:/My%20Web%20Sites/int/exponentwptheme.com/finance/wp-content/uploads/sites/19/2018/09/Home-IMG-4.jpg	(from https://exponentwptheme.com/finance/)
10:25:19	41574/41574	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225b9b6765-a266%22	https://exponentwptheme.com/finance/wp-content/uploads/sites/19/2018/09/Home-IMG-5.svg	E:/My%20Web%20Sites/int/exponentwptheme.com/finance/wp-content/uploads/sites/19/2018/09/Home-IMG-5.svg	(from https://exponentwptheme.com/finance/)
10:25:19	133054/133054	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Dec%202020%2004:55:20%20GMT	https://exponentwptheme.com/finance/portfolio/mutual-funds/	E:/My%20Web%20Sites/int/exponentwptheme.com/finance/portfolio/mutual-funds/index.html	(from https://exponentwptheme.com/finance/)
10:25:19	131808/131808	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Dec%202020%2004:55:20%20GMT	https://exponentwptheme.com/finance/portfolio/stock-markets/	E:/My%20Web%20Sites/int/exponentwptheme.com/finance/portfolio/stock-markets/index.html	(from https://exponentwptheme.com/finance/)
10:25:19	138947/138947	---M--	200	added ('OK')	image/jpeg	etag:%225b9b6766-21ec3%22	https://exponentwptheme.com/finance/wp-content/uploads/sites/19/2018/09/Home-Test-IMG.jpg	E:/My%20Web%20Sites/int/exponentwptheme.com/finance/wp-content/uploads/sites/19/2018/09/Home-Test-IMG.jpg	(from https://exponentwptheme.com/finance/)
10:25:19	133256/133256	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Dec%202020%2004:55:20%20GMT	https://exponentwptheme.com/finance/portfolio/insurance/	E:/My%20Web%20Sites/int/exponentwptheme.com/finance/portfolio/insurance/index.html	(from https://exponentwptheme.com/finance/)
10:25:19	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%225fdba5ea-4d7%22	https://exponentwptheme.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	E:/My%20Web%20Sites/int/exponentwptheme.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://exponentwptheme.com/finance/)
10:25:20	1/1	---MC-	400	error ('Bad%20Request')	text/html	date:Fri,%2025%20Dec%202020%2004:55:21%20GMT	https://exponentwptheme.com/finance/wp-admin/admin-ajax.php	E:/My%20Web%20Sites/int/exponentwptheme.com/finance/wp-admin/admin-ajax.php	(from https://exponentwptheme.com/finance/)
10:25:20	139921/139921	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Dec%202020%2004:55:22%20GMT	https://exponentwptheme.com/finance/blog/	E:/My%20Web%20Sites/int/exponentwptheme.com/finance/blog/index.html	(from https://exponentwptheme.com/finance/)
10:25:20	133423/133423	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Dec%202020%2004:55:21%20GMT	https://exponentwptheme.com/finance/portfolio/business-loans/	E:/My%20Web%20Sites/int/exponentwptheme.com/finance/portfolio/business-loans/index.html	(from https://exponentwptheme.com/finance/)
10:25:20	4680/4680	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225fc4a1f5-1248%22	https://exponentwptheme.com/finance/wp-content/plugins/tatsu/img/exponent-dark-logo.svg	E:/My%20Web%20Sites/int/exponentwptheme.com/finance/wp-content/plugins/tatsu/img/exponent-dark-logo.svg	(from https://exponentwptheme.com/finance/)
10:25:20	135053/135053	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Dec%202020%2004:55:22%20GMT	https://exponentwptheme.com/finance/contact/	E:/My%20Web%20Sites/int/exponentwptheme.com/finance/contact/index.html	(from https://exponentwptheme.com/finance/)
10:25:20	132912/132912	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Dec%202020%2004:55:22%20GMT	https://exponentwptheme.com/finance/portfolio/money-markets/	E:/My%20Web%20Sites/int/exponentwptheme.com/finance/portfolio/money-markets/index.html	(from https://exponentwptheme.com/finance/)
10:25:20	4680/4680	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225fc4a1f5-1248%22	https://exponentwptheme.com/finance/wp-content/plugins/tatsu/img/exponent-light-logo.svg	E:/My%20Web%20Sites/int/exponentwptheme.com/finance/wp-content/plugins/tatsu/img/exponent-light-logo.svg	(from https://exponentwptheme.com/finance/)
10:25:21	2385/2385	---MCZ	200	added ('OK')	application/javascript	etag:W/%225dc99356-951%22	https://exponentwptheme.com/finance/wp-includes/js/comment-reply.min.js?ver=5.3.6	E:/My%20Web%20Sites/int/exponentwptheme.com/finance/wp-includes/js/comment-reply.min48f5.js	(from https://exponentwptheme.com/finance/)
10:25:21	138145/138145	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Dec%202020%2004:55:23%20GMT	https://exponentwptheme.com/finance/by-2030-every-person-in-the-planet-will-have-a-smartphone/	E:/My%20Web%20Sites/int/exponentwptheme.com/finance/by-2030-every-person-in-the-planet-will-have-a-smartphone/index.html	(from https://exponentwptheme.com/finance/)
10:25:22	129838/129838	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Dec%202020%2004:55:23%20GMT	https://exponentwptheme.com/finance/category/technology/	E:/My%20Web%20Sites/int/exponentwptheme.com/finance/category/technology/index.html	(from https://exponentwptheme.com/finance/)
10:25:22	713/713	---MCZ	200	added ('OK')	application/javascript	etag:W/%225dd0088a-2c9%22	https://qu3r1v212d48cje431eqa61a-wpengine.netdna-ssl.com/wp-content/plugins/be-grid/js/vendor/asyncloader.min.js?ver=1.2.4	E:/My%20Web%20Sites/int/qu3r1v212d48cje431eqa61a-wpengine.netdna-ssl.com/wp-content/plugins/be-grid/js/vendor/asyncloader.min9030.js	(from https://exponentwptheme.com/finance/)
10:25:22	125230/125230	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Dec%202020%2004:55:23%20GMT	https://exponentwptheme.com/finance/category/news/	E:/My%20Web%20Sites/int/exponentwptheme.com/finance/category/news/index.html	(from https://exponentwptheme.com/finance/)
10:25:22	1703/1703	---MCZ	200	added ('OK')	application/javascript	etag:W/%225dd0088a-6a7%22	https://qu3r1v212d48cje431eqa61a-wpengine.netdna-ssl.com/wp-content/plugins/be-grid/js/helpers.min.js?ver=1.2.4	E:/My%20Web%20Sites/int/qu3r1v212d48cje431eqa61a-wpengine.netdna-ssl.com/wp-content/plugins/be-grid/js/helpers.min9030.js	(from https://exponentwptheme.com/finance/)
10:25:23	143031/143031	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Dec%202020%2004:55:24%20GMT	https://exponentwptheme.com/finance/places-you-need-to-visit-before-you-get-married/	E:/My%20Web%20Sites/int/exponentwptheme.com/finance/places-you-need-to-visit-before-you-get-married/index.html	(from https://exponentwptheme.com/finance/)
10:25:23	118575/118575	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Dec%202020%2004:55:24%20GMT	https://exponentwptheme.com/finance/category/travel/	E:/My%20Web%20Sites/int/exponentwptheme.com/finance/category/travel/index.html	(from https://exponentwptheme.com/finance/)
10:25:23	120923/120923	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Dec%202020%2004:55:24%20GMT	https://exponentwptheme.com/finance/category/lifestyle/	E:/My%20Web%20Sites/int/exponentwptheme.com/finance/category/lifestyle/index.html	(from https://exponentwptheme.com/finance/)
